Asset,i1960,i1961,i1962,i1963,i1964,i1965,i1966,i1967,i1968,i1969,i1970,i1971,i1972,i1973,i1974,i1975,i1976,i1977,i1978,i1979,i1980,i1981,i1982,i1983,i1984,i1985,i1986,i1987,i1988,i1989,i1990,i1991,i1992,i1993,i1994,i1995,i1996,i1997,i1998,i1999,i2000,i2001,i2002,i2003,i2004,i2005,i2006,i2007,i2008,i2009,i2010,i2011,i2012,i2013,i2014,i2015,i2016
Navigational and other instruments manufacturing,0.7,0.8,0.9,1,1.1,1.2,1.4,1.5,1.7,2,2.2,2.4,2.5,2.9,3.2,3.3,3.6,3.9,4.3,4.9,5.6,6.2,6.8,7.3,8.1,8.6,8.7,8.9,9.2,9.2,9.5,9.6,10.1,10.1,11.2,13,15.4,18.8,20.5,20.9,27,31.5,23.1,21.2,20.7,21.7,27,27.9,30.6,27.9,28.2,29.8,29.7,29.7,33.7,34.1,36.2
Nonelectro medical instruments,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.8,0.8,1.1,1.2,1.5,1.6,2,2.4,2.8,3.3,3.6,4.4,4.8,5.2,6.3,8.3,9.1,10.1,10.4,11.1,12.4,13.5,14.5,16.4,17.8,19.9,22.1,21.4,21.8,23.8,26.4,30.3,32.2,35.2,38.5,43.8,48.5,52.6,61.2,64,72.3,73.5,68.3,71.8,74.6,77.6,82.1,81,83.1,85
Nonmedical instruments,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.1,1.3,1.7,1.8,2.1,3.5,4.1,4.4,4.9,5.6,6.1,6.3,7.8,8.3,8.6,8.9,9.2,11.7,12.9,13.4,14.3,14.5,15.4,17,17.9,16.6,17,17.1,18.4,19.3,19.7,18.8,20.6,21.7,22.9,26,26.5,22.2,25,27,31.4,32,35.4,36.1,37.1
Nuclear fuel,9.4,8.8,9.3,10,11.4,13.7,16.1,16.9,17.3,19.1,20.3,19.5,21.4,26,30.7,31.3,34.1,39.4,47.7,56.2,60.7,65.5,62.7,58.9,68.1,72.5,75.4,76.7,84.2,93.3,92.1,89.3,91.7,101,112.5,127.8,135.5,139,145.7,147.3,160.8,149.7,139.4,141,141.7,159.6,178.6,191,189.8,149.6,150.3,187.3,207.9,205.4,215.3,216.9,220.9
Office,1.8,2,2.2,2.2,2.4,2.9,3,3,3.4,4.1,4.3,5.2,5.4,6.2,6.5,5.4,5.3,6,7.7,11.2,15.7,20.5,26.8,24.7,31,38,34.8,32.4,34.1,34.5,32.8,26.1,21.9,22.8,24.3,28,30.7,37.7,46.1,51.4,59.9,59.5,40.1,34.6,37.4,42.6,52.1,61.1,63,42.1,27.3,26.7,30.9,34,44.1,53.9,67.5
Office and accounting equipment,1.2,1,0.9,1,1,1,1.3,1.3,1.2,1.4,1.2,1.1,1.3,1.9,2.6,2.3,2.7,2.8,4.2,5.2,5.7,6.1,4.7,7.6,8.6,8.3,9.7,6.3,5.6,6.1,5,4.6,5.1,5.6,5.7,5.8,5.9,5.8,5.1,3.7,3.9,4.8,5.2,8,8.3,8.5,8.8,4.4,4.8,3.8,3.5,3.2,3.9,3.8,4.1,4.1,4.3
Other,1.1,1.2,1.3,1.4,1.6,1.7,2,1.8,2,2.2,2.5,2.7,3.1,3.8,4.5,4.3,4.9,5.8,7,8.6,8.8,9.7,10.9,10.8,11.8,12.5,13.6,14.8,16,17.5,17.7,17.8,18.2,21.4,23.7,25.6,27.4,29.3,31.8,33.8,36.4,37.9,40.8,46.3,50.1,55.7,59.4,60.6,58.6,49.9,49.9,53.2,49.5,53.9,57.3,60.4,60.8
Other agricultural machinery,1.6,1.6,1.8,2.2,2.5,2.7,3.3,3.4,3.3,3.4,4,3.9,4.8,6.4,6.8,8.5,8.8,9.5,10.7,12.7,11.6,12.6,9.5,8.5,9.1,7.3,6.8,6.6,9,11,12.5,10.6,9.4,10.8,12.3,12.7,12.8,15.2,15.8,11.4,12.7,13.7,15.9,17.4,19.7,21.6,20.6,21.2,25.1,26.4,25,28.5,39.5,46.8,48.6,40.6,36.7
Other commercial,0.6,0.7,0.7,0.7,0.8,0.9,1,1,1.1,1.3,1.4,1.6,2.1,2.5,2.6,2.1,2.1,2.5,3.4,4.5,4.9,5.2,4.6,4.9,7,8.8,8.9,9.4,9.9,10.3,10.2,7.4,7.1,7.8,11,11.9,12.8,15.4,15.6,16.5,19.1,17.5,17.8,15.9,18.4,17.4,16.3,19.3,17.2,10.3,7.2,7.5,8.3,9,9,10.4,13.2
"Other computer and electronic manufacturing, n.e.c.",0.7,0.8,0.9,1,1.1,1.2,1.4,1.5,1.7,2,2.2,2.4,2.5,2.9,3.2,3.3,3.6,3.9,4.3,4.9,5.6,6.2,6.8,7.3,8.1,8.6,8.7,8.9,9.2,9.2,9.5,9.6,10.1,10.1,11.2,13,15.4,18.8,20.5,20.9,27,31.5,23.1,21.2,20.7,21.7,27,27.9,30.6,27.9,28.2,29.8,29.7,29.7,33.7,34.1,36.2
Other construction machinery,1.1,1.1,1.1,1.5,1.9,2.2,2.5,2.3,2.5,2.9,2.9,3,3.7,4.6,5.5,5.5,5.6,8.1,10.7,10.9,9.4,9.7,6.5,7.3,9.9,10.9,10.8,10.2,10.3,13.2,13.6,9,9,11.7,13.5,15.3,17.5,19,21.7,22.4,22.9,20.5,19.2,20.5,24.4,31.4,36.7,35.6,34.3,19.9,30.9,32.3,37.3,35.5,41.6,42.2,29.5
Other electrical,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.6,0.8,0.8,0.9,1,1.1,1.6,2.1,2.5,2.8,2.4,2.5,2.8,2.9,3.1,3.2,3.6,3.6,3.3,2.8,2.9,2.9,3,3.3,3.2,3.6,4.3,4.1,4.3,4.7,5,5.2,6.3,6,6,5.2,5.3,4.1,4.5,4.5,5.5,6.6,6.3,6.6,6.2
Other entertainment originals,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.5,1.7,1.8,1.9,2.2,2.3,2.5,2.6,2.7,2.7,2.8,3,3,3,3.1,3.2,3.3,3.3,3.2,3.3,3,2.5,2.6,2.7,2.7,2.7,2.7,2.8
Other fabricated metals,0.9,0.9,0.8,0.9,1,1.2,1.4,1.4,1.7,2.1,2.6,2.8,3,3.7,4.5,5.3,6.1,6.2,7.1,8.8,9.2,9.9,9.5,9.1,8.7,8.6,8,7.1,8,9,9.2,9.4,9.6,9.3,10,10.8,12.1,10.5,10.9,11.5,11.9,11.9,10.7,11.8,12.6,14.4,17.3,19.8,22,17.5,16.3,19.3,22.7,22.4,23.5,22.9,24
Other furniture,1.4,1.4,1.4,1.6,1.8,1.9,2.2,2.3,2.3,2.7,2.7,2.6,3.4,3.9,3.9,3.7,4.2,5.6,6.9,8,9,10,11,12.2,14.5,15.7,16.7,18.4,18.8,21.6,21,18.9,20.7,21.2,22.4,24.3,25.4,29.6,33.4,36.3,39.2,37.1,35.8,36.5,38.5,42.4,43.7,41.9,41.3,31.3,31.3,35.5,37.9,37.5,39.9,42.8,45
Other land transportation,0.6,0.5,0.5,0.6,0.6,0.7,0.8,0.7,0.9,1,0.9,1,1.1,1.2,1.4,1.4,1.9,2.2,2.7,2.9,3,3.1,3,3,3.6,4.1,2.9,2.5,2.5,2.7,2.6,2.4,2.9,3.1,3.4,3.5,4.4,5.1,5.9,5,4.8,4.8,5.2,5.3,5.7,6.2,7.7,7.9,8.9,8.3,9.4,8.8,9.7,9.9,10.9,12.4,10.9
Other manufacturing,1.8,1.8,1.9,2,2.2,2.3,2.6,2.8,3.1,3.4,3.6,3.7,4,4.4,5.1,5.6,6,6.5,7.1,8.1,9.4,11.7,13.5,14.3,16,17.3,16.7,15.9,16.8,18.9,20.1,21,20.8,17,18.4,21.6,23.9,25.6,25.6,26.4,27.2,25,25.2,27.2,27.3,30.7,33.3,35.3,33.3,37.4,37.3,43.2,45.2,47.8,48.8,50.1,51.6
Other railroad,0.6,0.5,0.5,0.6,0.6,0.7,0.8,0.7,0.9,1,0.9,1,1.1,1.2,1.4,1.4,1.9,2.2,2.7,2.9,3,3.1,3,3,3.6,4.1,2.9,2.5,2.5,2.7,2.6,2.4,2.9,3.1,3.4,3.5,4.4,5.1,5.9,5,4.8,4.8,5.2,5.3,5.7,6.2,7.7,7.9,8.9,8.3,9.4,8.8,9.7,9.9,10.9,12.4,10.9
Other transportation,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,1,1.1,1.4,1.5,1.7,1.9,2.2,2.8,4,3.4,3.9,3.3,3.6,4.3,4.3,5,4.7,4.3,5,4.3,3.8,3.9,3.5,4.3,3.3,2.4,2.7,3.3,3.1,4,4.4,4.3,3,3.3,3.2,2.8,2.6,2.8,3.2,2
"Other trucks, buses and truck trailers",1.6,1.7,2.1,2.3,2.3,2.9,3.4,3.1,3.7,4.5,3.9,4.6,5.9,7,7.3,5.8,7.6,10.2,12.5,13.7,10.7,11.4,11.2,13.1,17.7,20.1,17.9,18.1,17.1,17.8,14,12.2,16.1,21.9,25.1,29,25.6,23.8,30,34.1,29.6,21,21.2,20.8,28.6,34.8,38.4,29.8,24.5,18.5,24.1,33.6,39.7,42.1,49.4,56.7,48.4
Own account software,0.1,0.1,0.2,0.4,0.5,0.6,0.9,1,1,1.3,1.4,1.4,1.6,1.7,2,2.5,2.8,2.9,3.3,4.3,5,5.6,7.2,8,9.7,11.2,11.7,13.6,15.1,18.4,20.1,23.8,24.4,27.3,27,27.8,28.3,34.8,37.9,54.1,65.8,67.3,66.3,71.7,79.6,82.5,87.1,92.2,97.2,99,96.3,100.6,103.7,108.5,115.5,123.9,131.1
PCs,0.2,0.3,0.3,0.7,0.9,1.2,1.7,1.9,1.9,2.4,2.7,2.8,3.5,3.5,3.9,3.6,4.4,5.7,7.6,10.2,12.5,17.1,18.9,23.9,31.6,33.7,33.4,35.8,38,43.1,38.6,37.7,43.6,47.5,51.9,65.5,72.1,81,87.1,96.1,101.7,85.7,77.5,76,79,77.4,83.5,84.8,81,74.2,78.5,73.8,77,76.3,77.7,74.4,70.6
Petroleum and natural gas,2.2,2.2,2.3,2.1,2.2,2.3,2.3,2.3,2.3,2.5,2.5,2.3,2.7,3,4.5,6.5,7.5,10.1,14.1,17.7,25.6,39.9,42.7,28.4,29.5,26.2,14.6,12.2,14.8,13.9,16.7,17.2,12.8,15.2,14.5,13.7,15.2,21,21.1,17.2,22.3,33.3,27.8,36.2,43.6,64.3,87.9,94.6,109.8,69.1,79.4,101.3,123.6,128.1,152.8,108.7,58.4
Petroleum pipelines,2.2,2.2,2.3,2.1,2.2,2.3,2.3,2.3,2.3,2.5,2.5,2.3,2.7,3,4.5,6.5,7.5,10.1,14.1,17.7,25.6,39.9,42.7,28.4,29.5,26.2,14.6,12.2,14.8,13.9,16.7,17.2,12.8,15.2,14.5,13.7,15.2,21,21.1,17.2,22.3,33.3,27.8,36.2,43.6,64.3,87.9,94.6,109.8,69.1,79.4,101.3,123.6,128.1,152.8,108.7,58.4
Pharmaceutical and medicine manufacturing,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,1,1.1,1.2,1.4,1.6,1.9,2.2,2.6,3.1,3.5,3.7,3.9,5.1,6,6.8,7.7,9,10,11.2,12,14.3,16.2,18.3,21.6,24.2,28.1,29.5,32.4,33.5,37.4,40.5,45.6,56.8,61.2,56.9,63.6,60.2,63.6,65.8,70,73.5,78
Photocopy and related equipment,0.3,0.3,0.4,0.6,0.9,1.1,1.4,1.2,1.3,1.5,1.7,2,2.5,3,3.5,4,4.4,4.3,5.2,5.5,6.4,7.2,7.4,7.3,9.1,8.8,9.3,9.7,10.7,11.7,11.4,12,12.6,14.5,15.3,14.2,13.6,12.6,12.7,10.7,9.8,6.7,4.6,5.2,5.2,4.9,4.2,6.5,7.1,5.6,6.4,7.4,7.4,7.3,6.7,6.7,7.8
Prepackaged software,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.9,1.2,1.6,1.9,2.6,4,4.9,5.3,5.9,7.6,10.5,13.3,14.3,16.6,18.5,19.9,22.2,26.4,34.9,42.9,49.7,54.7,55.9,60.3,63.3,67,69.2,69.1,70.3,72.8,71.3,62,68.1,73.6,77.6,88.3,95.6,102.3
Printers,0.2,0.3,0.3,0.7,0.9,1.2,1.7,1.9,1.9,2.4,2.7,2.8,3.5,3.5,3.9,3.6,4.4,5.7,7.6,10.2,12.5,17.1,18.9,23.9,31.6,33.7,33.4,35.8,38,43.1,38.6,37.7,43.6,47.5,51.9,65.5,72.1,81,87.1,96.1,101.7,85.7,77.5,76,79,77.4,83.5,84.8,81,74.2,78.5,73.8,77,76.3,77.7,74.4,70.6
Public safety,0.2859375,0.309765625,0.33359375,0.405078125,0.4765625,0.52421875,0.52421875,0.52421875,0.595703125,0.738671875,0.643359375,0.786328125,0.833984375,0.953125,1.14375,1.334375,1.358203125,1.2390625,1.501171875,1.596484375,1.834765625,1.90625,2.025390625,2.120703125,2.3828125,2.859375,3.455078125,3.7171875,3.598046875,3.979296875,4.6703125,4.95625,4.71796875,4.932421875,4.884765625,5.38515625,6.1,6.1,6.4,6.5,6.3,5.9,5.7,4.8,4.6,4.4,4.2,5.3,5.5,5.3,4.9,5.3,4.8,4.1,4,3.7,3.6
Railroad equipment,0.9,0.6,0.9,1,1.4,1.7,2,1.8,1.3,1.8,1.5,1.6,1.5,1.8,2.4,2.8,2.4,2.9,3.9,5.7,5.6,3.5,2.2,1.5,2.2,2,1.7,1.4,2.2,3.3,3.4,3.2,2.9,3.4,4.6,5.2,5.3,5.8,6.7,7.5,7.1,5.4,4.7,4.4,4.9,7,8.4,9.1,9.6,6.5,6.7,10.6,15.2,16.2,20.5,21.2,10.8
Residential,26.3,26.5,29.1,32.3,34.5,34.5,32.7,32.9,39.3,43.4,42.3,56.9,70.9,76.6,67.6,64.8,84.6,112.8,135.3,144.7,126.1,124.9,107.2,156.9,185.6,195,229.3,244,250.1,249.9,233.7,215.4,248.8,280.7,317.6,317.7,351.7,369.3,412.1,454.5,477.7,505.2,549.6,628.7,740.7,846.4,827.4,678.8,506.5,383.9,372.7,377.5,433.4,510.3,560.6,635.5,695.7
Scientific research and development services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.7,1.2,1.7,1.8,1.8,1.9,2,2.2,2.7,3.6,4,5.1,5.3,4.7,4.3,5.3,5.7,6.3,7.3,9.2,9.1,7.7,8,9.1,7.5,7,9,7.9
Semiconductor and other component manufacturing,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.8,1.2,1.3,1.4,1.9,2.5,3,3.5,4.5,4.6,4.7,4.8,4.9,5.2,5.2,5.8,6.8,8.1,9.9,10.8,11.4,12.6,14.8,14.5,15.1,17,18.3,18,18.9,22.4,20.9,22.9,25.5,28.7,31.9,33.4,32.3,33.9
Service industry machinery,1.3,1.3,1.4,1.4,1.5,1.8,2.1,2.1,2.3,2.6,2.7,2.8,2.9,3.1,3.3,3.1,3.7,4.2,5,5.9,6.5,7,7.3,7.6,9.1,9.9,10.2,11.2,11.7,12.9,11.7,11.2,11.1,11.9,13.1,14.2,14.8,14.8,16.8,18.3,19,19.9,19.5,20.4,21.8,24.2,25.2,26.5,25.5,23.9,26.8,28.8,30.7,30,32.7,34.2,34.2
Sewage and waste disposal,0.9,0.9,1.1,0.9,1.3,1.2,1.3,1.1,1.6,1.3,1.5,1.8,2,2.4,3.4,3.7,4.2,4,5.1,5.6,6.6,5.9,5.6,5,5.9,6,6.8,8.1,8.5,8.5,9.1,9.2,9.6,9,8.1,8.2,9.2,9.5,8.8,9,8.9,10.3,11.7,12.4,13.6,14.7,20.1,21,22,21.1,22.2,21,19.2,18.4,18,18.3,17.3
Ships and boats,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.8,0.9,0.9,0.9,1.1,1.7,1.6,2.3,2.3,2.5,2.6,3.2,3.5,4.5,3.1,1.9,1.7,1.3,1.5,1.8,1.6,1.5,1.6,1.6,1.2,2.1,1.8,1.8,2.3,2.7,2.8,2.9,3.5,3.2,3.8,4.2,4.8,4.8,4.5,6,6.9,3.9,3.9,4.9,5.7,6.5,6.5,7.2,7.1
Software publishers,0.1,0.2,0.2,0.4,0.5,0.7,1,1.2,1.3,1.8,2.3,2.4,2.8,3.2,3.9,4.8,5.2,5.5,6.3,8.1,9.8,11.8,14,16.4,20.4,23.8,25.6,29,34.2,41.9,47.6,53.7,57.9,64.3,68.3,74.6,85.5,107.5,126,157.3,184.5,186.6,183,191,205.1,217.2,228.9,244.2,258.5,256.8,252,269.8,284.3,294.6,317.1,332.5,352.8
Special care,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1,1.3,1.8,2,2,1.8,1.8,1.9,2.3,2.3,2.5,2.4,2.5,2.7,2.4,2.7,3.8,3.9,4.7,4.5,4.7,4,4,3.3,2.8,2.5,3.3,3.5,4.1,3.4,3.1,3.4,4.3,3.9,4.5,4.7,4.1
Special industrial machinery,1.9,1.9,2,2.1,2.4,3.1,3.5,3.3,3.5,3.7,3.9,3.8,4.2,4.8,5.4,5.2,5.5,6.1,8.2,9.4,10.5,11.3,11.9,12.4,14.4,15.8,17.1,18.7,20.9,23.7,22.6,21.3,21.4,24,26.1,30.9,32.6,32.7,34.1,34.6,39.3,34.9,30.4,28.8,28.5,30.6,33.4,34.8,32.8,25,24.5,36,35,35,40,38.8,40.3
Steam engines,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.8,0.9,1.1,1.3,1.5,1.7,1.7,1.8,1.7,1.8,1.7,1.8,1.9,1.9,2.3,2,1.8,1.9,2.2,1.9,2.5,2.7,3.3,3.1,3.8,3.7,3.5,3.9,3.3,4,3.7,4.4,5.5,7.1,10.8,11.6,10.3,4.9,5.8,7.4,11.4,12.1,9.9,6.9,10.4,13.5,11.4,11.1,12.3,10.5
Storage devices,0.2,0.3,0.3,0.7,0.9,1.2,1.7,1.9,1.9,2.4,2.7,2.8,3.5,3.5,3.9,3.6,4.4,5.7,7.6,10.2,12.5,17.1,18.9,23.9,31.6,33.7,33.4,35.8,38,43.1,38.6,37.7,43.6,47.5,51.9,65.5,72.1,81,87.1,96.1,101.7,85.7,77.5,76,79,77.4,83.5,84.8,81,74.2,78.5,73.8,77,76.3,77.7,74.4,70.6
System integrators,0.2,0.3,0.3,0.7,0.9,1.2,1.7,1.9,1.9,2.4,2.7,2.8,3.5,3.5,3.9,3.6,4.4,5.7,7.6,10.2,12.5,17.1,18.9,23.9,31.6,33.7,33.4,35.8,38,43.1,38.6,37.7,43.6,47.5,51.9,65.5,72.1,81,87.1,96.1,101.7,85.7,77.5,76,79,77.4,83.5,84.8,81,74.2,78.5,73.8,77,76.3,77.7,74.4,70.6
Tape drives,0.2,0.3,0.3,0.7,0.9,1.2,1.7,1.9,1.9,2.4,2.7,2.8,3.5,3.5,3.9,3.6,4.4,5.7,7.6,10.2,12.5,17.1,18.9,23.9,31.6,33.7,33.4,35.8,38,43.1,38.6,37.7,43.6,47.5,51.9,65.5,72.1,81,87.1,96.1,101.7,85.7,77.5,76,79,77.4,83.5,84.8,81,74.2,78.5,73.8,77,76.3,77.7,74.4,70.6
Terminals,0.2,0.3,0.3,0.7,0.9,1.2,1.7,1.9,1.9,2.4,2.7,2.8,3.5,3.5,3.9,3.6,4.4,5.7,7.6,10.2,12.5,17.1,18.9,23.9,31.6,33.7,33.4,35.8,38,43.1,38.6,37.7,43.6,47.5,51.9,65.5,72.1,81,87.1,96.1,101.7,85.7,77.5,76,79,77.4,83.5,84.8,81,74.2,78.5,73.8,77,76.3,77.7,74.4,70.6
Theatrical movies,0.5,0.8,0.7,0.8,0.8,1,0.9,1,1.4,1.1,0.8,0.9,1,0.8,0.8,0.8,1.7,1.6,1.4,2.3,2,2.9,3,3.4,4,3.8,4.8,4.9,5.1,6.2,6.1,7.3,6.7,8.3,8.6,10.5,13.1,12.6,13.5,12.8,16.1,15.4,15.9,17.7,18,18.9,20.1,20,18.3,17,21.3,21.4,20.8,21,18.6,21.2,21.5
Track replacement,5.2,5.1,5.4,5.8,6.4,7.3,7.7,7.7,7.1,7.6,7.7,7.9,8.6,9.9,10.2,10,10.9,12.2,14.9,18.2,19.8,21.1,21.1,23.2,27.9,31.4,30.4,33.4,32,33.8,37.4,33.2,30.9,34.3,34.6,40.1,48.1,55.4,61.2,63.8,68.3,65,59.1,58.8,62.2,62.4,73.7,90.5,104.4,84.1,60.6,55.5,61.5,66.2,73.8,83.8,93
Warehouses,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,1,1.3,1.5,1.6,1.3,1.3,1.6,2,2.7,3,3,2.7,2.9,4.2,5.3,5.4,5.7,6,6.2,6.2,4.5,4.4,4.9,5.9,8.7,10.9,11.9,12.2,13.3,14.5,15.5,11.9,12.3,12.1,12.8,14.5,16.9,16.7,9.7,5.7,6.5,7,8.8,13.7,16.6,21.2
Water supply,0.6,0.7,0.7,0.9,1,1.3,1.1,1.3,1.5,1.4,1.1,1,1.1,1.1,1.4,2,1.9,1.7,2.3,2.6,3.3,3.1,3.3,2.9,3.5,4,4.8,5.4,5.4,5.6,6.3,6.5,5.8,5.2,5.5,5.3,6.5,7.7,8,8.8,8.8,10,11.4,11.6,12.3,13,17.3,17.2,17.6,17.2,17.4,14.9,14.3,15.1,16.4,16.8,16.1
Wind and solar,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,1,1.1,1.4,1.5,1.7,1.9,2.2,2.8,4,3.4,3.9,3.3,3.6,4.3,4.3,5,4.7,4.3,5,4.3,3.8,3.9,3.5,4.3,3.3,2.4,2.7,3.3,3.1,4,4.4,4.3,3,3.3,3.2,2.8,2.6,2.8,3.2,2
